year,life_exp_ch,life_exp_fr,life_exp_ug,pop_ch,pop_fr,pop_ug,gdp_ch,gdp_fr,gdp_ug
1800,32,34,25.3,,,,,,
1801,32,36.4,25.3,,,,,,
1802,32,34.4,25.3,,,,,,
1803,32,30.6,25.3,,,,,,
1804,32,29.4,25.3,,,,,,
1805,32,34.9,25.3,,,,,,
1806,32,35,25.3,,,,,,
1807,32,34.2,25.3,,,,,,
1808,32,34.5,25.3,,,,,,
1809,32,35,25.3,,,,,,
1810,32,37.4,25.3,,,,,,
1811,32,36.1,25.3,,,,,,
1812,32,31.7,25.3,,,,,,
1813,32,31.2,25.3,,,,,,
1814,32,30.1,25.3,,,,,,
1815,32,36.5,25.3,,,,,,
1816,32,40,25.3,,,,,,
1817,32,39.2,25.3,,,,,,
1818,32,38.5,25.3,,,,,,
1819,32,37.3,25.3,,,,,,
1820,32,39.2,25.3,,,,,,
1821,32,39.8,25.3,,,,,,
1822,32,38.3,25.3,,,,,,
1823,32,40,25.3,,,,,,
1824,32,39.1,25.3,,,,,,
1825,32,38.5,25.3,,,,,,
1826,32,37.8,25.3,,,,,,
1827,32,39.4,25.3,,,,,,
1828,32,37.5,25.3,,,,,,
1829,32,39.4,25.3,,,,,,
1830,32,39.6,25.3,,,,,,
1831,32,39.6,25.3,,,,,,
1832,32,35.8,25.3,,,,,,
1833,32,38.8,25.3,,,,,,
1834,32,35,25.3,,,,,,
1835,32,39.5,25.3,,,,,,
1836,32,42,25.3,,,,,,
1837,32,39.4,25.3,,,,,,
1838,32,39.3,25.3,,,,,,
1839,32,40.9,25.3,,,,,,
1840,32,40.4,25.3,,,,,,
1841,32,40.7,25.3,,,,,,
1842,32,40,25.3,,,,,,
1843,32,40.8,25.3,,,,,,
1844,32,42.3,25.3,,,,,,
1845,32,43.6,25.3,,,,,,
1846,32,40.7,25.3,,,,,,
1847,32,40.4,25.3,,,,,,
1848,32,40.3,25.3,,,,,,
1849,32,35.9,25.3,,,,,,
1850,32,43.3,25.3,,,,,,
1851,31,41.8,25.3,,,,,,
1852,30,41.3,25.3,,,,,,
1853,29,42.5,25.3,,,,,,
1854,28,36.1,25.3,,,,,,
1855,27,37.5,25.3,,,,,,
1856,26,40.2,25.3,,,,,,
1857,26.7,39.6,25.3,,,,,,
1858,27.4,39.7,25.3,,,,,,
1859,28.1,35.3,25.3,,,,,,
1860,28.9,43.3,25.3,,,,,,
1861,29.6,40.5,25.3,,,,,,
1862,30.3,42.7,25.3,,,,,,
1863,31,41.7,25.3,,,,,,
1864,31.7,42,25.3,,,,,,
1865,31.7,40.2,25.3,,,,,,
1866,31.8,41.8,25.3,,,,,,
1867,31.8,42.3,25.3,,,,,,
1868,31.9,40.2,25.3,,,,,,
1869,31.9,41.1,25.3,,,,,,
1870,32,36.4,25.3,,,,,,
1871,32,29.6,25.3,,,,,,
1872,32,42.6,25.3,,,,,,
